Date,INJCJC,INJCJC4
5-Aug-05,311,317
12-Aug-05,319,316
19-Aug-05,315,315.25
26-Aug-05,318,315.75
2-Sep-05,326,319.5
9-Sep-05,422,345.25
16-Sep-05,424,372.5
23-Sep-05,359,382.75
30-Sep-05,384,397.25
7-Oct-05,383,387.5
14-Oct-05,348,368.5
21-Oct-05,324,359.75
28-Oct-05,322,344.25
4-Nov-05,325,329.75
11-Nov-05,309,320
18-Nov-05,324,320
25-Nov-05,311,317.25
2-Dec-05,321,316.25
9-Dec-05,327,320.75
16-Dec-05,312,317.75
23-Dec-05,320,320
30-Dec-05,302,315.25
6-Jan-06,326,315
13-Jan-06,285,308.25
20-Jan-06,290,300.75
27-Jan-06,282,295.75
3-Feb-06,289,286.5
10-Feb-06,298,289.75
17-Feb-06,283,288
24-Feb-06,293,290.75
3-Mar-06,302,294
10-Mar-06,307,296.25
17-Mar-06,303,301.25
24-Mar-06,295,301.75
31-Mar-06,291,299
7-Apr-06,299,297
14-Apr-06,299,296
21-Apr-06,308,299.25
28-Apr-06,321,306.75
5-May-06,347,318.75
12-May-06,335,327.75
19-May-06,319,330.5
26-May-06,330,332.75
2-Jun-06,307,322.75
9-Jun-06,298,313.5
16-Jun-06,308,310.75
23-Jun-06,309,305.5
30-Jun-06,316,307.75
7-Jul-06,343,319
14-Jul-06,318,321.5
21-Jul-06,306,320.75
28-Jul-06,311,319.5
4-Aug-06,318,313.25
11-Aug-06,310,311.25
18-Aug-06,315,313.5
25-Aug-06,314,314.25
1-Sep-06,315,313.5
8-Sep-06,314,314.5
15-Sep-06,324,316.75
22-Sep-06,319,318
29-Sep-06,309,316.5
6-Oct-06,316,317
13-Oct-06,305,312.25
20-Oct-06,313,310.75
27-Oct-06,328,315.5
3-Nov-06,319,316.25
10-Nov-06,311,317.75
17-Nov-06,326,321
24-Nov-06,349,326.25
1-Dec-06,327,328.25
8-Dec-06,311,328.25
15-Dec-06,318,326.25
22-Dec-06,323,319.75
29-Dec-06,341,323.25
5-Jan-07,330,328
12-Jan-07,296,322.5
19-Jan-07,335,325.5
26-Jan-07,308,317.25
2-Feb-07,310,312.25
9-Feb-07,338,322.75
16-Feb-07,321,319.25
23-Feb-07,322,322.75
2-Mar-07,320,325.25
9-Mar-07,308,317.75
16-Mar-07,309,314.75
23-Mar-07,303,310
30-Mar-07,307,306.75
6-Apr-07,332,312.75
13-Apr-07,327,317.25
20-Apr-07,321,321.75
27-Apr-07,301,320.25
4-May-07,300,312.25
11-May-07,297,304.75
18-May-07,310,302
25-May-07,310,304.25
1-Jun-07,313,307.5
8-Jun-07,313,311.5
15-Jun-07,320,314
22-Jun-07,313,314.75
29-Jun-07,317,315.75
6-Jul-07,321,317.75
13-Jul-07,317,317
20-Jul-07,310,316.25
27-Jul-07,305,313.25
3-Aug-07,314,311.5
10-Aug-07,316,311.25
17-Aug-07,321,314
24-Aug-07,329,320
31-Aug-07,314,320
7-Sep-07,321,321.25
14-Sep-07,313,319.25
21-Sep-07,302,312.5
28-Sep-07,317,313.25
5-Oct-07,316,312
12-Oct-07,335,317.5
19-Oct-07,334,325.5
26-Oct-07,328,328.25
2-Nov-07,327,331
9-Nov-07,333,330.5
16-Nov-07,332,330
23-Nov-07,352,336
30-Nov-07,344,340.25
7-Dec-07,332,340
14-Dec-07,350,344.5
21-Dec-07,355,345.25
28-Dec-07,360,349.25
4-Jan-08,346,352.75
11-Jan-08,322,345.75
18-Jan-08,321,337.25
25-Jan-08,366,338.75
1-Feb-08,350,339.75
8-Feb-08,344,345.25
15-Feb-08,339,349.75
22-Feb-08,354,346.75
29-Feb-08,345,345.5
7-Mar-08,348,346.5
14-Mar-08,369,354
21-Mar-08,368,357.5
28-Mar-08,387,368
4-Apr-08,354,369.5
11-Apr-08,365,368.5
18-Apr-08,349,363.75
25-Apr-08,370,359.5
2-May-08,370,363.5
9-May-08,366,363.75
16-May-08,367,368.25
23-May-08,369,368
30-May-08,362,366
6-Jun-08,382,370
13-Jun-08,378,372.75
20-Jun-08,381,375.75
27-Jun-08,392,383.25
4-Jul-08,371,380.5
11-Jul-08,385,382.25
18-Jul-08,402,387.5
25-Jul-08,434,398
1-Aug-08,448,417.25
8-Aug-08,430,428.5
15-Aug-08,424,434
22-Aug-08,421,430.75
29-Aug-08,442,429.25
5-Sep-08,441,432
12-Sep-08,449,438.25
19-Sep-08,483,453.75
26-Sep-08,483,464
3-Oct-08,482,474.25
10-Oct-08,461,477.25
17-Oct-08,478,476
24-Oct-08,480,475.25
31-Oct-08,490,477.25
7-Nov-08,512,490
14-Nov-08,536,504.5
21-Nov-08,532,517.5
28-Nov-08,529,527.25
5-Dec-08,570,541.75
12-Dec-08,566,549.25
19-Dec-08,587,563
26-Dec-08,533,564
2-Jan-09,503,547.5
9-Jan-09,551,543.75
16-Jan-09,591,544.75
23-Jan-09,586,557.75
30-Jan-09,629,589.25
6-Feb-09,637,610.75
13-Feb-09,632,621
20-Feb-09,655,638.25
27-Feb-09,652,644
6-Mar-09,660,649.75
13-Mar-09,651,654.5
20-Mar-09,661,656
27-Mar-09,665,659.25
3-Apr-09,653,657.5
10-Apr-09,599,644.5
17-Apr-09,639,639
24-Apr-09,620,627.75
1-May-09,602,615
8-May-09,625,621.5
15-May-09,620,616.75
22-May-09,606,613.25
29-May-09,607,614.5
5-Jun-09,596,607.25
12-Jun-09,595,601
19-Jun-09,608,601.5
26-Jun-09,594,598.25
3-Jul-09,573,592.5
10-Jul-09,546,580.25
17-Jul-09,560,568.25
24-Jul-09,587,566.5
31-Jul-09,555,562
7-Aug-09,555,564.25
14-Aug-09,562,564.75
21-Aug-09,560,558
28-Aug-09,564,560.25
4-Sep-09,558,561
11-Sep-09,542,556
18-Sep-09,536,550
25-Sep-09,554,547.5
2-Oct-09,533,541.25
9-Oct-09,511,533.5
16-Oct-09,531,532.25
23-Oct-09,530,526.25
30-Oct-09,522,523.5
6-Nov-09,512,523.75
13-Nov-09,507,517.75
20-Nov-09,482,505.75
27-Nov-09,475,494
4-Dec-09,497,490.25
11-Dec-09,498,488
18-Dec-09,479,487.25
25-Dec-09,468,485.5
1-Jan-10,460,476.25
8-Jan-10,474,470.25
15-Jan-10,513,478.75
22-Jan-10,471,479.5
