"","region","urb","lit","voteshare","absolute_wealth"
"191","Region 2",0.0929537191987038,0.384591400623322,0.124071054160595,4539741.5
"192","Region 2",0.0822281390428543,0.308700799942017,0.374341666698456,11915722
"193","Region 2",0.034795306622982,0.334456503391266,0.326773703098297,198436.046875
"194","Region 2",0.0929537191987038,0.384591400623322,0.298909693956375,99893080
"195","Region 2",0.186498939990997,0.398520201444626,0.345521450042725,2262077
"196","Region 2",0.417269378900528,0.519964635372162,0.186956107616425,125370.0625
"197","Region 2",0.417269378900528,0.519964635372162,0.075600691139698,9130596
"198","Region 2",0.0766239166259766,0.375275731086731,0.334322661161423,2
"199","Region 2",0.186498939990997,0.398520201444626,0.366558492183685,4991587.5
"200","Region 2",0.0638209357857704,0.295618563890457,0.137043356895447,2694249.25
"201","Region 2",0.0917686820030212,0.414815038442612,0.408217400312424,4590123.5
"202","Region 2",0.034795306622982,0.334456503391266,0.344111800193787,397999.875
"203","Region 2",0.080962099134922,0.354261755943298,0.285212904214859,3582275.75
"204","Region 2",0.0507301837205887,0.293796300888062,0.29287451505661,2430201
"205","Region 2",0.0638209357857704,0.295618563890457,0.237014159560204,3932421
"206","Region 2",0.0872425585985184,0.275191009044647,0.490531474351883,812000.25
"207","Region 2",0.0737605765461922,0.340479254722595,0.199613139033318,9332461
"208","Region 2",0.0912156403064728,0.273806154727936,0.45756009221077,186869.078125
"209","Region 2",0.10168768465519,0.306343823671341,0.353641241788864,542093.9375
"210","Region 2",0.0613997541368008,0.273175597190857,0.29874923825264,10826113
"211","Region 2",0.080962099134922,0.354261755943298,0.38511449098587,1198835.75
"212","Region 2",0.0456306077539921,0.38156846165657,0.254452258348465,2374521.25
"213","Region 2",0.10168768465519,0.306343823671341,0.337693065404892,2428192.5
"214","Region 2",0.0995149463415146,0.241823956370354,0.249341771006584,18807160
"215","Region 2",0.278244704008102,0.487197637557983,0.232150390744209,10513923
"216","Region 2",0.0544314682483673,0.41189506649971,0.201934590935707,13841449
"217","Region 2",0.0917686820030212,0.414815038442612,0.353549838066101,3305249.75
"218","Region 2",0.13922156393528,0.478350907564163,0.253543317317963,6439407
"219","Region 2",0.0456306077539921,0.38156846165657,0.359865069389343,1754999.75
"220","Region 2",0.0995149463415146,0.241823956370354,0.623207688331604,715446
"221","Region 2",0.0917686820030212,0.414815038442612,0.323990285396576,564104.25
"222","Region 2",0.0917686820030212,0.414815038442612,0.360037714242935,1885290.75
"223","Region 2",0.417269378900528,0.519964635372162,0.28435942530632,680899.8125
"224","Region 2",0.0544314682483673,0.41189506649971,0.169868111610413,210000
"225","Region 2",0.136764317750931,0.404629945755005,0.297293186187744,5922853.5
"226","Region 2",0.035024207085371,0.34021332859993,0.204106017947197,2
"227","Region 2",0.0606400147080421,0.379150152206421,0.252259820699692,433635.03125
"228","Region 2",0.10168768465519,0.306343823671341,0.199454143643379,367199.875
"229","Region 2",0.0929537191987038,0.384591400623322,0.388318210840225,761617.375
